id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loudness,mode,tempo,valence,available_market,release_date,explicit,idx
0MMnTqRiGZQ0RaF0A4ZB61,"Pulo, Pulo",samba,https://open.spotify.com/track/0MMnTqRiGZQ0RaF0A4ZB61,18.0,0.682,0.6679999999999999,0.723,7.09e-06,0.0958,0.08900000000000001,167786.0,5.0,-8.436,1.0,103.139,0.772,3.0,2011-01-01,0.0,9567
6wp1NwIYmuAxwFWeQjc8tm,Luz Negra,samba,https://open.spotify.com/track/6wp1NwIYmuAxwFWeQjc8tm,52.0,0.664,0.507,0.225,1.3699999999999998e-05,0.0893,0.0526,202112.0,10.0,-21.536,0.0,79.322,0.7040000000000001,77.0,2019-12-06,0.0,9568
2EiazSYyCSlBEKED2EvysD,LK Feat. Stamina MC (Carol Carolina Bela),samba,https://open.spotify.com/track/2EiazSYyCSlBEKED2EvysD,49.0,0.0125,0.6509999999999999,0.932,0.426,0.212,0.0686,329746.0,8.0,-6.459,0.0,174.00799999999995,0.966,79.0,2004-03-09,0.0,9569
42r0LZ9g8gq4afWztSw54k,Arco-Íris (feat. Thiaguinho) - Ao Vivo,samba,https://open.spotify.com/track/42r0LZ9g8gq4afWztSw54k,59.0,0.74,0.5589999999999999,0.838,0.0,0.88,0.0545,195649.0,0.0,-5.205,1.0,92.078,0.693,79.0,2020-03-27,0.0,9570
5RCSQYSQu9I0rs8KK32h5t,Disritmia,samba,https://open.spotify.com/track/5RCSQYSQu9I0rs8KK32h5t,41.0,0.732,0.7490000000000001,0.361,2.22e-05,0.0923,0.344,145893.0,7.0,-12.484000000000002,0.0,149.085,0.918,79.0,1993-11-08,0.0,9572
2YsmKB2d5gJcFXuWIa3SJh,Santa Clara Clareou,samba,https://open.spotify.com/track/2YsmKB2d5gJcFXuWIa3SJh,42.0,0.103,0.472,0.564,5.58e-06,0.0645,0.0932,211133.0,10.0,-15.053,1.0,201.561,0.627,79.0,1981,0.0,9573
2Co2GQ3XPmFEYpQJnOTNPX,Menina Você Bebeu,samba,https://open.spotify.com/track/2Co2GQ3XPmFEYpQJnOTNPX,39.0,0.484,0.706,0.711,0.0,0.183,0.107,216933.0,2.0,-5.989,1.0,114.628,0.938,79.0,1986-01-01,0.0,9574
16Pj3ylxkF4qh70CQaKnYa,Rock N' Roll Suicide,samba,https://open.spotify.com/track/16Pj3ylxkF4qh70CQaKnYa,27.0,0.935,0.613,0.318,1.11e-06,0.126,0.522,192226.0,5.0,-11.970999999999998,1.0,97.111,0.35,79.0,2004-12-14,0.0,9575
0l9BjXMUwxN8QHmD8n7hFF,Pérola Negra - Ao Vivo,samba,https://open.spotify.com/track/0l9BjXMUwxN8QHmD8n7hFF,47.0,0.5479999999999999,0.76,0.48,0.00139,0.971,0.0655,300973.0,11.0,-8.562000000000001,1.0,120.124,0.438,74.0,2017-11-10,0.0,9576
2aPCEYzD3CTTWexuPUvJU3,Loose Ends,samba,https://open.spotify.com/track/2aPCEYzD3CTTWexuPUvJU3,26.0,0.276,0.763,0.7,0.000146,0.0684,0.0764,332880.0,8.0,-8.335,0.0,99.019,0.307,79.0,2006-01-01,0.0,9577
4cMbAhrwsZsAHceaGvZy9y,Tropicália - Remastered 2006,samba,https://open.spotify.com/track/4cMbAhrwsZsAHceaGvZy9y,50.0,0.191,0.51,0.696,0.0,0.0973,0.0748,222106.0,8.0,-6.127999999999999,1.0,96.872,0.384,66.0,1967-01-01,0.0,9578
5deNWRbj6a29vYokcQmMm8,Futuros Amantes,samba,https://open.spotify.com/track/5deNWRbj6a29vYokcQmMm8,33.0,0.735,0.482,0.35600000000000004,7.59e-06,0.6890000000000001,0.0556,181160.0,9.0,-13.149,1.0,93.998,0.21600000000000005,79.0,2007-09-03,0.0,9579
3o1Rtb9gWiLkHCcEHs7uj6,Borbulhas de Amor (Tenho um Coração) [Borbujas de Amor],samba,https://open.spotify.com/track/3o1Rtb9gWiLkHCcEHs7uj6,29.0,0.701,0.6679999999999999,0.5329999999999999,0.0,0.162,0.0297,248360.0,11.0,-11.015,1.0,126.461,0.7709999999999999,20.0,2004-05-03,0.0,9580
0oKVWkt8DMsMrGzMvE12vN,Carta de Amor (Paulo Cesar Pinheiro - Maria Bethânia),samba,https://open.spotify.com/track/0oKVWkt8DMsMrGzMvE12vN,13.0,0.524,0.6459999999999999,0.618,0.0,0.516,0.336,338906.0,7.0,-6.1720000000000015,1.0,100.133,0.501,2.0,2014-09-16,0.0,9582
3rlfQRL4gIRARv6vGawaj2,Swinga Sambaby,samba,https://open.spotify.com/track/3rlfQRL4gIRARv6vGawaj2,33.0,0.298,0.718,0.556,0.0,0.513,0.16899999999999998,94266.0,0.0,-8.499,1.0,107.76,0.897,78.0,1973-01-01,0.0,9583
