,id,name,artist,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loadness,mode,tempo,valence,available_market,release_date,explicit
6340,5NLUcVnVHfnkt4uUexWdIH,So Much to Say,Dave Matthews Band,j-rock,52.0,0.0109,0.715,0.78,0.0017,0.119,0.0327,246600.0,2.0,-6.688,1.0,115.897,0.838,3.0,1996-04-30,0.0
6341,256plQKyyKZW8D6T02xfVb,You Shadow,Sharon Van Etten,j-rock,50.0,0.0896,0.46,0.738,6.22e-06,0.0887,0.0414,194173.0,0.0,-3.652,1.0,70.426,0.2,79.0,2019-01-18,0.0
6342,6nylEPiO5P3Vut7qiUtpqG,Brighter Days,JJ Grey & Mofro,j-rock,43.0,0.108,0.55,0.561,2.12e-06,0.957,0.0385,480893.0,10.0,-7.84,1.0,103.466,0.384,79.0,2011-09-13,0.0
6343,1HL3yEnYq8LEyFQ3QegA5V,Crash into Me,Dave Matthews Band,j-rock,68.0,0.122,0.541,0.677,0.0191,0.0938,0.0373,316466.0,4.0,-10.764,1.0,101.1,0.555,3.0,1996-04-30,0.0
6344,1lMNcFJjUcrhRSEMzeDZqQ,4th of July,X,j-rock,40.0,0.0104,0.44,0.815,0.0,0.0998,0.0365,247293.0,7.0,-6.505,1.0,139.104,0.815,74.0,1987,0.0
6345,1DxqlPitj6MvQsJy7bgZr2,Old White Lincoln,The Gaslight Anthem,j-rock,47.0,0.000626,0.468,0.878,0.0,0.746,0.0502,203373.0,0.0,-4.669,1.0,167.991,0.806,78.0,2009-08-19,0.0
6346,3Ff17mcxxk29UoqFugr3ZM,Vices,Tomorrows Bad Seeds,j-rock,43.0,0.0678,0.699,0.713,0.000111,0.0983,0.115,267000.0,8.0,-8.051,0.0,89.621,0.577,79.0,2007-01-01,0.0
6347,0eTHlx53lUn95HVsJtR6Qx,Dixie Chicken,Little Feat,j-rock,58.0,0.7,0.566,0.669,0.0654,0.588,0.0694,239106.0,9.0,-10.081,1.0,149.702,0.92,79.0,1973-01-01,0.0
6348,5iD9yLR6kxI6SxlC3lfgiY,New World Rising,Soul Majestic,j-rock,41.0,0.0163,0.793,0.539,1.06e-05,0.031,0.0494,247644.0,7.0,-6.075,0.0,79.985,0.682,79.0,2014-05-13,0.0
6349,5YzzWlWfAVNvtduNDHKhHc,Touch of Grey,Grateful Dead,j-rock,56.0,0.0427,0.617,0.817,3.34e-06,0.146,0.0354,347826.0,11.0,-7.136,1.0,159.907,0.803,77.0,2003-09-16,0.0
6350,0J8A1ZVyJcRZxFNvtp6jRh,One Day I'll Fly Away,Randy Crawford,j-rock,65.0,0.761,0.489,0.358,0.018,0.106,0.0302,298026.0,2.0,-10.413,1.0,77.784,0.422,79.0,1980,0.0
6351,4okM23gFpb1uDT9PTuMa8m,Acting Up,The Holdup,j-rock,48.0,0.0559,0.735,0.575,0.0,0.113,0.0283,215327.0,0.0,-7.363,0.0,91.513,0.55,79.0,2019-02-08,1.0
6352,3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,Motohiro Hata,j-rock,58.0,0.076,0.373,0.914,0.0,0.669,0.0565,232360.0,0.0,-4.185,1.0,168.21,0.56,79.0,2010-10-06,0.0
6353,7Acm1dmvGZXnsWXhbUY5NS,Hard Feelings,Brian Fallon,j-rock,50.0,0.632,0.465,0.542,0.0105,0.0985,0.0557,251773.0,4.0,-8.626,1.0,199.923,0.303,77.0,2020-03-27,0.0
